Timestamp,Building,Voltage_V,Current_A,Power_W,Energy_kWh
2026-01-01 00:00:00,Library,230.55,10.9,2512.1,0.628
2026-01-01 00:15:00,Hostel,233.63,7.74,1809.37,0.4523
2026-01-01 00:30:00,Laboratory,232.41,8.72,2026.79,0.5067
2026-01-01 00:45:00,Hostel,231.12,13.45,3107.48,0.7769
2026-01-01 01:00:00,Hostel,226.05,10.34,2337.29,0.5843
2026-01-01 01:15:00,Computer Lab,232.36,5.69,1320.99,0.3302
2026-01-01 01:30:00,Laboratory,239.41,12.76,3054.32,0.7636
2026-01-01 01:45:00,Laboratory,236.73,8.0,1892.77,0.4732
2026-01-01 02:00:00,Laboratory,237.97,15.62,3717.0,0.9293
2026-01-01 02:15:00,Hostel,227.44,13.24,3011.39,0.7528
2026-01-01 02:30:00,Library,225.05,8.66,1948.51,0.4871
2026-01-01 02:45:00,Laboratory,229.37,13.84,3175.19,0.7938
2026-01-01 03:00:00,Hostel,230.28,10.2,2349.66,0.5874
2026-01-01 03:15:00,Computer Lab,235.47,12.56,2957.12,0.7393
2026-01-01 03:30:00,Library,221.54,11.45,2537.54,0.6344
2026-01-01 03:45:00,Computer Lab,237.65,7.46,1773.07,0.4433
2026-01-01 04:00:00,Library,229.21,8.07,1849.58,0.4624
2026-01-01 04:15:00,Hostel,227.87,13.09,2982.73,0.7457
2026-01-01 04:30:00,Academic Block,224.94,9.0,2023.48,0.5059
2026-01-01 04:45:00,Library,221.73,8.79,1948.76,0.4872
2026-01-01 05:00:00,Computer Lab,234.12,7.13,1670.33,0.4176
2026-01-01 05:15:00,Hostel,230.37,11.27,2596.42,0.6491
2026-01-01 05:30:00,Library,223.55,16.19,3618.74,0.9047
2026-01-01 05:45:00,Academic Block,223.52,6.8,1519.39,0.3798
2026-01-01 06:00:00,Academic Block,228.32,10.07,2299.8,0.575
2026-01-01 06:15:00,Laboratory,238.35,14.24,3393.24,0.8483
2026-01-01 06:30:00,Laboratory,228.7,9.76,2232.38,0.5581
2026-01-01 06:45:00,Computer Lab,222.48,11.36,2526.78,0.6317
2026-01-01 07:00:00,Library,228.77,6.81,1558.58,0.3896
2026-01-01 07:15:00,Library,228.64,11.28,2580.14,0.645
2026-01-01 07:30:00,Laboratory,216.52,9.44,2043.6,0.5109
2026-01-01 07:45:00,Library,229.73,12.96,2976.64,0.7442
2026-01-01 08:00:00,Library,228.85,13.56,3103.64,0.7759
2026-01-01 08:15:00,Academic Block,233.48,17.77,4148.65,1.0372
2026-01-01 08:30:00,Laboratory,239.24,11.74,2808.47,0.7021
2026-01-01 08:45:00,Hostel,235.63,10.98,2586.63,0.6467
2026-01-01 09:00:00,Laboratory,228.66,10.58,2419.9,0.605
2026-01-01 09:15:00,Hostel,224.47,8.94,2006.85,0.5017
2026-01-01 09:30:00,Academic Block,242.87,11.02,2675.29,0.6688
2026-01-01 09:45:00,Computer Lab,230.3,9.11,2098.87,0.5247
2026-01-01 10:00:00,Library,230.07,10.51,2416.97,0.6042
2026-01-01 10:15:00,Academic Block,229.88,13.95,3207.46,0.8019
2026-01-01 10:30:00,Library,230.99,6.98,1612.4,0.4031
2026-01-01 10:45:00,Computer Lab,229.28,13.42,3076.83,0.7692
2026-01-01 11:00:00,Computer Lab,227.13,13.95,3168.79,0.7922
2026-01-01 11:15:00,Academic Block,227.27,9.65,2192.16,0.548
2026-01-01 11:30:00,Computer Lab,229.84,3.63,835.32,0.2088
2026-01-01 11:45:00,Hostel,227.28,8.18,1858.39,0.4646
2026-01-01 12:00:00,Computer Lab,226.44,13.89,3145.42,0.7864
2026-01-01 12:15:00,Library,230.53,9.93,2289.51,0.5724
2026-01-01 12:30:00,Library,228.73,7.0,1601.55,0.4004
2026-01-01 12:45:00,Library,237.52,8.49,2015.52,0.5039
2026-01-01 13:00:00,Library,216.75,12.52,2714.05,0.6785
2026-01-01 13:15:00,Hostel,235.46,11.64,2740.77,0.6852
2026-01-01 13:30:00,Laboratory,236.23,9.28,2192.98,0.5482
2026-01-01 13:45:00,Academic Block,219.63,8.9,1954.63,0.4887
2026-01-01 14:00:00,Library,228.29,8.82,2014.57,0.5036
2026-01-01 14:15:00,Computer Lab,228.14,7.23,1650.1,0.4125
2026-01-01 14:30:00,Library,222.96,14.85,3310.13,0.8275
2026-01-01 14:45:00,Computer Lab,226.11,9.03,2042.47,0.5106
2026-01-01 15:00:00,Computer Lab,224.45,13.65,3064.03,0.766
2026-01-01 15:15:00,Library,238.76,14.56,3477.31,0.8693
2026-01-01 15:30:00,Hostel,234.68,12.99,3049.63,0.7624
2026-01-01 15:45:00,Computer Lab,236.36,8.71,2057.53,0.5144
2026-01-01 16:00:00,Computer Lab,233.61,11.21,2619.03,0.6548
2026-01-01 16:15:00,Library,224.35,9.93,2227.26,0.5568
2026-01-01 16:30:00,Computer Lab,227.38,7.29,1657.33,0.4143
2026-01-01 16:45:00,Computer Lab,232.45,10.97,2550.66,0.6377
2026-01-01 17:00:00,Library,223.89,6.46,1446.97,0.3617
2026-01-01 17:15:00,Library,233.56,13.56,3167.85,0.792
2026-01-01 17:30:00,Academic Block,228.8,8.61,1969.07,0.4923
2026-01-01 17:45:00,Hostel,228.13,10.6,2418.93,0.6047
2026-01-01 18:00:00,Hostel,233.55,10.85,2534.04,0.6335
2026-01-01 18:15:00,Computer Lab,232.22,9.22,2141.84,0.5355
2026-01-01 18:30:00,Hostel,228.2,11.76,2683.59,0.6709
2026-01-01 18:45:00,Computer Lab,235.8,8.58,2022.02,0.5055
2026-01-01 19:00:00,Academic Block,224.59,12.61,2833.01,0.7083
2026-01-01 19:15:00,Library,233.08,5.96,1389.64,0.3474
2026-01-01 19:30:00,Library,232.97,10.38,2417.98,0.6045
2026-01-01 19:45:00,Library,228.45,15.82,3613.38,0.9033
2026-01-01 20:00:00,Hostel,231.63,7.0,1621.18,0.4053
2026-01-01 20:15:00,Academic Block,223.74,7.97,1782.52,0.4456
2026-01-01 20:30:00,Hostel,234.62,11.54,2707.92,0.677
2026-01-01 20:45:00,Hostel,229.08,10.54,2414.17,0.6035
2026-01-01 21:00:00,Academic Block,227.39,11.05,2513.05,0.6283
2026-01-01 21:15:00,Academic Block,235.25,11.47,2697.69,0.6744
2026-01-01 21:30:00,Academic Block,226.48,11.9,2696.03,0.674
2026-01-01 21:45:00,Academic Block,222.96,13.33,2971.83,0.743
2026-01-01 22:00:00,Library,222.22,11.23,2495.37,0.6238
2026-01-01 22:15:00,Laboratory,233.03,9.28,2161.64,0.5404
2026-01-01 22:30:00,Laboratory,223.6,12.02,2687.14,0.6718
2026-01-01 22:45:00,Academic Block,238.77,15.7,3748.67,0.9372
2026-01-01 23:00:00,Laboratory,219.59,9.6,2108.53,0.5271
2026-01-01 23:15:00,Laboratory,238.48,7.08,1687.6,0.4219
2026-01-01 23:30:00,Academic Block,231.06,13.32,3077.94,0.7695
2026-01-01 23:45:00,Laboratory,229.52,9.64,2212.28,0.5531
2026-01-02 00:00:00,Hostel,227.28,3.48,791.37,0.1978
2026-01-02 00:15:00,Computer Lab,232.0,12.54,2909.75,0.7274
2026-01-02 00:30:00,Computer Lab,229.81,8.39,1929.04,0.4823
2026-01-02 00:45:00,Academic Block,235.52,9.73,2291.2,0.5728
2026-01-02 01:00:00,Library,230.57,11.0,2535.35,0.6338
2026-01-02 01:15:00,Academic Block,230.75,10.57,2439.39,0.6098
2026-01-02 01:30:00,Library,228.18,12.13,2767.47,0.6919
2026-01-02 01:45:00,Computer Lab,229.72,8.69,1997.04,0.4993
2026-01-02 02:00:00,Academic Block,231.54,11.54,2671.8,0.668
2026-01-02 02:15:00,Hostel,221.45,9.22,2042.06,0.5105
2026-01-02 02:30:00,Laboratory,223.26,12.22,2727.43,0.6819
